,price (CLP),rooms,size (m2),address
1102,670000,3.0,92.0,"Lira 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1103,510000,2.0,68.0,"Compañía De Jesús Con Amunategui, Centro Histórico De Santiago, Santiago"
1104,300000,1.0,34.0,"Departamento Nuevo!!! A Estrenar, Cercano A Estaciones De Metro Toesca Y Moneda**, Parque Almagro, Santiago"
1105,330000,1.0,32.0,"Lira/santa Isabel, Santa Isabel, Santiago"
1106,360000,1.0,30.0,"Avenida Santa Rosa 325, Santiago, Chile, San Diego, Santiago"
1107,350000,1.0,36.0,"Santa Isabel 77, Santa Isabel, Santiago"
1108,450000,2.0,60.0,"Metro Santa Isabel, Barrio Diez De Julio, Santiago"
1109,410000,2.0,43.0,"Manuel Antonio Tocornal, Santa Isabel, Santiago"
1110,320000,1.0,30.0,"Antonio Ricaurte 317, Barrio Diez De Julio, Santiago"
1111,279990,1.0,28.0,"Santa Elena 1760, Bogotá - Sierra Bella, Santiago"
1113,395000,2.0,57.0,"Argomedo 320, Santa Isabel, Santiago"
1114,420000,2.0,52.0,"Avenida Portugal 900 - 1200, Santiago, Chile, Barrio Diez De Julio, Santiago"
1115,350000,2.0,51.0,"Avenida San Pablo 1433, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1116,600000,1.0,60.0,"Metro Toesca, Ejército - Toesca, Santiago"
1117,670000,3.0,92.0,"Lira - Gral. Jofré, Santa Isabel, Santiago"
1119,300000,2.0,42.0,"San Diego 1499, Santiago, Chile, Parque O'higgins, Santiago"
1120,320000,1.0,30.0,"Antonio Ricaurte 317, Barrio Diez De Julio, Santiago"
1121,320000,1.0,35.0,"Santa Victoria 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
1122,450000,2.0,52.0,"Blanco Encalada 2527, Barrio República, Santiago"
1123,600000,3.0,66.0,"Arriendo- Departamento En Santiago 190, Santa Isabel, Santiago"
1124,470000,2.0,43.0,"Lira, Santa Isabel, Santiago"
1125,450000,2.0,61.0,"Avenida Portugal, Santa Isabel, Santiago"
1126,479990,2.0,35.0,"Serrano, San Diego, Santiago"
1127,270000,1.0,40.0,"Avenida Ejército Libertador 600 - 900, Santiago, Chile, Ejército - Toesca, Santiago"
1128,390000,2.0,53.0,"Cóndor, San Diego, Santiago"
1129,270000,1.0,30.0,"Santo Domingo 1240, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1131,320000,1.0,35.0,"Toesca 1929, Santiago, Chile, Ejército - Toesca, Santiago"
1132,325000,1.0,29.0,"Argomedo- Metro Santa Isabel, Santa Isabel, Santiago"
1133,300000,1.0,34.0,"General Las Heras 1610, Santiago, Chile, Parque Almagro, Santiago"
1134,300000,1.0,36.0,"Monjitas 744 Departamento 1312, Centro Histórico De Santiago, Santiago"
